SalesOrderID,SNumber,StoreId,OrderDate,SubTotal,Taxperc,TaxAmt,Freightperc,Freight,TotalDue,SalesOrderDetailID,PName,OrderQty,UnitPrice,UnitPriceDiscount,LineTotal
112012630,1,1,6/30/2012,2524.196,5,126.2098,1,25.2419,2675.6477,1,HL Fork,5,137.694,0,688.47
112012630,1,1,6/30/2012,2524.196,5,126.2098,1,25.2419,2675.6477,2,Sport-100 Helmet  Blue,4,20.1865,0,80.746
112012630,1,1,6/30/2012,2524.196,5,126.2098,1,25.2419,2675.6477,3,Short-Sleeve Classic Jersey  S,1,53.99,0,53.99
112012630,1,1,6/30/2012,2524.196,5,126.2098,1,25.2419,2675.6477,4,Road-350-W Yellow  40,1,1700.99,0,1700.99
212012630,2,1,6/30/2012,2636.8003,8,210.944,1,26.368,2874.1123,1,HL Mountain Frame - Silver  38,3,744.2727,0,2232.8181
212012630,2,1,6/30/2012,2636.8003,8,210.944,1,26.368,2874.1123,2,Short-Sleeve Classic Jersey  M,1,53.99,0,53.99
212012630,2,1,6/30/2012,2636.8003,8,210.944,1,26.368,2874.1123,3,AWC Logo Cap,3,5.1865,0,15.5595
212012630,2,1,6/30/2012,2636.8003,8,210.944,1,26.368,2874.1123,4,ML Road Frame-W - Yellow  44,1,324.4527,0,324.4527
212012630,2,1,6/30/2012,2636.8003,8,210.944,1,26.368,2874.1123,5,Touring Tire Tube,1,4.99,0,4.99
212012630,2,1,6/30/2012,2636.8003,8,210.944,1,26.368,2874.1123,6,Water Bottle - 30 oz.,1,4.99,0,4.99
