ProductKey,ProductAlternateKey,EnglishProductName,StandardCost,Size,StartDate,EndDate,Status
1,Al001,All-Purpose Bike Stand,159,,1/1/2012 0:00,,Active
2,Cl002,Classic Vest  S,63.5,,1/1/2012 0:00,,Active
3,Cl003,Classic Vest  L,63.5,,1/1/2012 0:00,,Active
4,Fu004,Full-Finger Gloves  S,24.69,,1/1/2012 0:00,,Active
5,Fr005,Front Brakes,63.9,,1/1/2012 0:00,,Active
6,Fr006,Front Derailleur,54.89,,1/1/2012 0:00,,Active
7,HL007,HL Crankset,242.99,,1/1/2012 0:00,,Active
8,HL008,HL Mountain Frame - Black  44,809.76,44,1/1/2012 0:00,,Active
9,Fu009,Full-Finger Gloves  L,24.69,,1/1/2012 0:00,,Active
10,Ha0010,Half-Finger Gloves  L,24.49,,1/1/2012 0:00,,Active
11,Bi0011,Bike Wash - Dissolver,7.95,,1/1/2012 0:00,,Active
12,Ca0012,Cable Lock,15,,1/1/2012 0:00,,Active
13,Ha0013,Half-Finger Gloves  M,24.49,,1/1/2012 0:00,,Active
14,HL0014,HL Mountain Frame - Black  38,809.76,38,1/1/2012 0:00,,Active
15,HL0015,HL Road Frame - Red  48,858.9,48,1/1/2012 0:00,,Active
16,HL0016,HL Road Handlebars,72.16,,1/1/2012 0:00,,Active
17,AW0017,AWC Logo Cap,8.99,,1/1/2012 0:00,,Active
18,Cl0018,Classic Vest  M,63.5,,1/1/2012 0:00,,Active
19,HL0019,HL Mountain Frame - Silver  38,818.7,38,1/1/2012 0:00,,Active
20,HL0020,HL Mountain Frame - Silver  42,818.7,42,1/1/2012 0:00,,Active
21,HL0021,HL Road Pedal,48.59,,1/1/2012 0:00,,Active
22,HL0022,HL Touring Frame - Blue  54,602.35,54,1/1/2012 0:00,,Active
23,HL0023,HL Mountain Pedal,48.59,,1/1/2012 0:00,,Active
24,HL0024,HL Mountain Rear Wheel,196.33,,1/1/2012 0:00,,Active
25,Ch0025,Chain,12.14,,1/1/2012 0:00,,Active
26,Fe0026,Fender Set - Mountain,21.98,,1/1/2012 0:00,,Active
27,Ha0027,Half-Finger Gloves  S,24.49,,1/1/2012 0:00,,Active
28,Hi0028,Hitch Rack - 4-Bike,120,,1/1/2012 0:00,,Active
29,HL0029,HL Touring Frame - Yellow  50,602.35,50,1/1/2012 0:00,,Active
30,HL0030,HL Touring Frame - Yellow  60,602.35,60,1/1/2012 0:00,,Active
31,HL0031,HL Touring Handlebars,54.94,,1/1/2012 0:00,,Active
32,LL0032,LL Mountain Frame - Black  48,149.87,48,1/1/2012 0:00,,Active
33,HL0033,HL Road Frame - Black  48,858.9,48,1/1/2012 0:00,,Active
34,HL0034,HL Road Seat/Saddle,31.58,,1/1/2012 0:00,,Active
35,LL0035,LL Mountain Frame - Black  52,149.87,52,1/1/2012 0:00,,Active
36,LL0036,LL Mountain Frame - Silver  48,158.43,48,1/1/2012 0:00,,Active
37,HL0037,HL Road Tire,32.6,,1/1/2012 0:00,,Active
38,Hy0038,Hydration Pack - 70 oz.,54.99,,1/1/2012 0:00,,Active
39,LL0039,LL Mountain Rear Wheel,52.65,,1/1/2012 0:00,,Active
40,LL0040,LL Mountain Seat/Saddle,16.27,,1/1/2012 0:00,,Active
41,LL0041,LL Road Frame - Black  60,202.33,60,1/1/2012 0:00,,Active
42,LL0042,LL Road Pedal,24.29,,1/1/2012 0:00,,Active
43,LL0043,LL Road Rear Wheel,83.3,,1/1/2012 0:00,,Active
44,LL0044,LL Touring Frame - Blue  54,200.05,54,1/1/2012 0:00,,Active
45,LL0045,LL Touring Frame - Yellow  44,200.05,44,1/1/2012 0:00,,Active
46,Me0046,Mens Sports Shorts  M,38.99,,1/1/2012 0:00,,Active
47,ML0047,ML Mountain Frame - Black  44,209.26,44,1/1/2012 0:00,,Active
48,ML0048,ML Mountain Frame-W - Silver  46,218.45,46,1/1/2012 0:00,,Active
49,HL0049,HL Fork,137.69,,1/1/2012 0:00,,Active
50,HL0050,HL Headset,74.84,,1/1/2012 0:00,,Active
51,HL0051,HL Mountain Frame - Black  42,809.76,42,1/1/2012 0:00,,Active
52,HL0052,HL Mountain Tire,35,,1/1/2012 0:00,,Active
53,ML0053,ML Mountain Tire,29.99,,1/1/2012 0:00,,Active
54,ML0054,ML Road Frame-W - Yellow  40,356.9,40,1/1/2012 0:00,,Active
55,ML0055,ML Touring Seat/Saddle,23.48,,1/1/2012 0:00,,Active
56,Mo0056,Mountain Tire Tube,4.99,,1/1/2012 0:00,,Active
57,LL0057,LL Bottom Bracket,32.39,,1/1/2012 0:00,,Active
58,LL0058,LL Crankset,105.29,,1/1/2012 0:00,,Active
59,Mo0059,Mountain-100 Black  38,3374.99,38,1/1/2012 0:00,,Active
60,Mo0060,Mountain-100 Black  42,3374.99,42,1/1/2012 0:00,,Active
61,LL0061,LL Mountain Frame - Black  40,149.87,40,1/1/2012 0:00,,Active
62,LL0062,LL Mountain Frame - Black  42,149.87,42,1/1/2012 0:00,,Active
63,HL0063,HL Touring Frame - Blue  50,602.35,50,1/1/2012 0:00,,Active
64,HL0064,HL Touring Frame - Blue  60,602.35,60,1/1/2012 0:00,,Active
65,LL0065,LL Mountain Frame - Silver  40,158.43,40,1/1/2012 0:00,,Active
66,LL0066,LL Mountain Frame - Silver  42,158.43,42,1/1/2012 0:00,,Active
67,LL0067,LL Mountain Frame - Silver  52,158.43,52,1/1/2012 0:00,,Active
68,LL0068,LL Mountain Front Wheel,36.45,,1/1/2012 0:00,,Active
69,HL0069,HL Touring Frame - Yellow  46,602.35,46,1/1/2012 0:00,,Active
70,HL0070,HL Touring Seat/Saddle,31.58,,1/1/2012 0:00,,Active
71,LL0071,LL Fork,88.93,,1/1/2012 0:00,,Active
72,LL0072,LL Headset,20.52,,1/1/2012 0:00,,Active
73,LL0073,LL Mountain Handlebars,26.72,,1/1/2012 0:00,,Active
74,LL0074,LL Mountain Tire,24.99,,1/1/2012 0:00,,Active
75,LL0075,LL Mountain Frame - Black  44,149.87,44,1/1/2012 0:00,,Active
76,LL0076,LL Mountain Frame - Silver  44,158.43,44,1/1/2012 0:00,,Active
77,LL0077,LL Road Frame - Black  44,202.33,44,1/1/2012 0:00,,Active
78,LL0078,LL Road Frame - Red  48,249.54,48,1/1/2012 0:00,,Active
79,LL0079,LL Road Frame - Red  52,202.33,52,1/1/2012 0:00,,Active
